synonym,standard_id,type
Detroit562,CVCL_1171,cell
DiFi,CVCL_6895,cell
DoHH2,CVCL_1179,cell
DoTc2-4510,CVCL_1181,cell
EB-3,CVCL_1185,cell
EB1,CVCL_2027,cell
EB2,CVCL_1186,cell
EBC-1,CVCL_2891,cell
EBC1,CVCL_2891,cell
EC-GI-10,CVCL_1187,cell
ECC10,CVCL_1188,cell
ECC12,CVCL_1189,cell
ECC2,CVCL_A1UI,cell
ECGI10,CVCL_1187,cell
EF021,CVCL_0029,cell
EFE-184,CVCL_1191,cell
EFE184,CVCL_1191,cell
EFM-19,CVCL_0253,cell
EFM-192A,CVCL_1812,cell
EFM19,CVCL_0253,cell
EFM192A,CVCL_1812,cell
EFO-21,CVCL_0029,cell
EFO-27,CVCL_1192,cell
EFO21,CVCL_0029,cell
EFO27,CVCL_1192,cell
EGI1,CVCL_1193,cell
EHEB,CVCL_1194,cell
EI,CVCL_F958,cell
EJM,CVCL_2030,cell
EKVX,CVCL_1195,cell
EM-2,CVCL_1196,cell
EM2,CVCL_1196,cell
EMC-BAC-1,CVCL_X486,cell
EMC-BAC-2,CVCL_X487,cell
EMTOKA,CVCL_E115,cell
EN,CVCL_2034,cell
EN1078D,CVCL_A423,cell
EOL-1,CVCL_0258,cell
EOL1,CVCL_0258,cell
EPLC-272H,CVCL_1197,cell
EPLC272H,CVCL_1197,cell
ES-2,CVCL_3509,cell
ES1,CVCL_1198,cell
ES2,CVCL_3509,cell
ES3,CVCL_1199,cell
ES4,CVCL_1200,cell
ES5,CVCL_1201,cell
ES6,CVCL_1202,cell
ES7,CVCL_1203,cell
ES8,CVCL_1204,cell
ESO26,CVCL_2035,cell
ESO51,CVCL_2036,cell
ESS-1,CVCL_1205,cell
ESS1,CVCL_1205,cell
ETK-1,CVCL_1206,cell
ETN1,CVCL_7954,cell
EVSA-T,CVCL_1207,cell
EVSAT,CVCL_1207,cell
EW-1,CVCL_1208,cell
EW-11,CVCL_1209,cell
EW-12,CVCL_1210,cell
EW-13,CVCL_1211,cell
EW-16,CVCL_1212,cell
EW-18,CVCL_1213,cell
EW-22,CVCL_1214,cell
EW-24,CVCL_1215,cell
EW-3,CVCL_1216,cell
EW-7,CVCL_1217,cell
EW-8,CVCL_V618,cell
EW8,CVCL_V618,cell
EWS502,CVCL_S740,cell
EoL-1,CVCL_0258,cell
EoL-1-cell,CVCL_0258,cell
F-36P,CVCL_2037,cell
F36P,CVCL_2037,cell
F5,CVCL_V616,cell
FADU,CVCL_1218,cell
FARAGE,CVCL_3302,cell
FE-PD,CVCL_H614,cell
FLO-1,CVCL_2045,cell
FLO1,CVCL_2045,cell
FR4,CVCL_M505,cell
FTC-133,CVCL_1219,cell
FTC-238,CVCL_2447,cell
FTC133,CVCL_1219,cell
FTC238,CVCL_2447,cell
FU-OV-1,CVCL_2047,cell
FU97,CVCL_2908,cell
FUOV1,CVCL_2047,cell
FaDu,CVCL_1218,cell
Farage,CVCL_3302,cell
G-292 clone A141B1,CVCL_2909,cell
"G-292, clone A141B1",CVCL_2909,cell
G-292-Clone-A141B1,CVCL_2909,cell
G-361,CVCL_1220,cell
G-401,CVCL_0270,cell
G-402,CVCL_1221,cell
G-MEL,CVCL_W798,cell
G292,CVCL_2909,cell
G292CLONEA141B1,CVCL_2909,cell
G361,CVCL_1220,cell
G401,CVCL_0270,cell
G402,CVCL_1221,cell
GA-10,CVCL_1222,cell
GAK,CVCL_1225,cell
GAMG,CVCL_1226,cell
GB-1,CVCL_1227,cell
GB1,CVCL_1227,cell
GCIY,CVCL_1228,cell
GCT,CVCL_1229,cell
GDM-1,CVCL_1230,cell
GI-1,CVCL_1231,cell
GI-ME-N,CVCL_1232,cell
GI1,CVCL_1231,cell
GIMEN,CVCL_1232,cell
GMS-10,CVCL_1233,cell
GMS10,CVCL_1233,cell
GOS-3,CVCL_2050,cell
GOS3,CVCL_2050,cell
GOTO,CVCL_1234,cell
GP2D,CVCL_2450,cell
GP2d,CVCL_2450,cell
GP5D,CVCL_1235,cell
GP5d,CVCL_1235,cell
GR-M,CVCL_2451,cell
GR-ST,CVCL_1236,cell
GRANTA-519,CVCL_1818,cell
GRANTA519,CVCL_1818,cell
GSS,CVCL_8876,cell
GSU,CVCL_8877,cell
H-EMC-SS,CVCL_1238,cell
H103,CVCL_2457,cell
H1048,CVCL_1453,cell
H1155,CVCL_1456,cell
H125,CVCL_3968,cell
H1299,CVCL_0060,cell
H1355,CVCL_1464,cell
H1373,CVCL_1465,cell
H1385,CVCL_1466,cell
H1395,CVCL_1467,cell
H1435,CVCL_1470,cell
H1437,CVCL_1472,cell
H1563,CVCL_1475,cell
H1568,CVCL_1476,cell
H1573,CVCL_1478,cell
H1581,CVCL_1479,cell
H1623,CVCL_1481,cell
H1648,CVCL_1482,cell
H1650,CVCL_1483,cell
H1651,CVCL_1484,cell
H1666,CVCL_1485,cell
H1693,CVCL_1488,cell
H1703,CVCL_1490,cell
H1734,CVCL_1491,cell
H1770,CVCL_1493,cell
H1781,CVCL_1494,cell
H1792,CVCL_1495,cell
H1793,CVCL_1496,cell
H1819,CVCL_1497,cell
H1836,CVCL_1498,cell
H1838,CVCL_1499,cell
H1869,CVCL_1500,cell
H187,CVCL_1501,cell
H1944,CVCL_1508,cell
H1975,CVCL_1511,cell
H1993,CVCL_1512,cell
H2023,CVCL_1515,cell
H2030,CVCL_1517,cell
H2052,CVCL_1518,cell
H2073,CVCL_1521,cell
H2077,CVCL_5157,cell
H2085,CVCL_1523,cell
H2087,CVCL_1524,cell
H2106,CVCL_1526,cell
H211,CVCL_1529,cell
H2110,CVCL_1530,cell
H2122,CVCL_1531,cell
H2126,CVCL_1532,cell
H2135,CVCL_1533,cell
H2170,CVCL_1535,cell
H2172,CVCL_1537,cell
H2195,CVCL_1538,cell
H2228,CVCL_1543,cell
H2250,CVCL_A527,cell
H2258,CVCL_A528,cell
H226,CVCL_1544,cell
H2286,CVCL_1545,cell
H23,CVCL_1547,cell
H2342,CVCL_1549,cell
H2347,CVCL_1550,cell
H28,CVCL_1555,cell
H2882,CVCL_5158,cell
H290,CVCL_A555,cell
H292,CVCL_0455,cell
H295R,CVCL_0458,cell
H322M,CVCL_1556,cell
H324,CVCL_3953,cell
H3255,CVCL_6831,cell
H357,CVCL_2462,cell
H358,CVCL_1559,cell
H376,CVCL_2463,cell
H378,CVCL_1560,cell
H4,CVCL_1239,cell
H413,CVCL_2465,cell
H441,CVCL_1561,cell
H446,CVCL_1562,cell
H460,CVCL_0459,cell
H520,CVCL_1566,cell
H522,CVCL_1567,cell
H524,CVCL_1568,cell
H596,CVCL_1571,cell
H650,CVCL_1575,cell
H661,CVCL_1577,cell
H69,CVCL_1579,cell
H716,CVCL_1581,cell
H720,CVCL_1583,cell
H727,CVCL_1584,cell
H747,CVCL_1587,cell
H810,CVCL_1590,cell
H820,CVCL_1592,cell
H838,CVCL_1594,cell
H9,CVCL_1240,cell
H920,CVCL_1599,cell
H969,CVCL_1601,cell
HA7-RCC,CVCL_1241,cell
HAL-01,CVCL_1242,cell
HARA,CVCL_2914,cell
HB1119,CVCL_8227,cell
HBCLS1,CVCL_6213,cell
HBCLS2,CVCL_6214,cell
HBL-1 [Human diffuse large B-cell lymphoma],CVCL_4213,cell
HC-1,CVCL_1243,cell
HCA1,CVCL_2916,cell
HCC-1171,CVCL_5126,cell
HCC-1195,CVCL_5127,cell
HCC-1359,CVCL_5128,cell
HCC-1438,CVCL_L088,cell
HCC-15,CVCL_2057,cell
HCC-1588,CVCL_A351,cell
HCC-1833,CVCL_5129,cell
HCC-1897,CVCL_V578,cell
HCC-2108,CVCL_A352,cell
HCC-2279,CVCL_5131,cell
HCC-2814,CVCL_V586,cell
HCC-33,CVCL_2058,cell
HCC-366,CVCL_2059,cell
HCC-44,CVCL_2060,cell
HCC-56,CVCL_2917,cell
HCC-78,CVCL_2061,cell
HCC-827,CVCL_2063,cell
HCC-827-GR5,CVCL_V622,cell
HCC-95,CVCL_5137,cell
HCC1143,CVCL_1245,cell
HCC1187,CVCL_1247,cell
HCC1195,CVCL_5127,cell
HCC1313,CVCL_L087,cell
HCC1359,CVCL_5128,cell
HCC1395,CVCL_1249,cell
HCC1419,CVCL_1251,cell
HCC1428,CVCL_1252,cell
HCC1438,CVCL_L088,cell
HCC15,CVCL_2057,cell
HCC1500,CVCL_1254,cell
HCC1569,CVCL_1255,cell
HCC1599,CVCL_1256,cell
HCC1806,CVCL_1258,cell
HCC1833,CVCL_5129,cell
HCC1897,CVCL_V578,cell
HCC193,CVCL_5130,cell
HCC1937,CVCL_0290,cell
HCC1954,CVCL_1259,cell
HCC202,CVCL_2062,cell
HCC2108,CVCL_A352,cell
HCC2157,CVCL_1261,cell
HCC2218,CVCL_1263,cell
HCC2279,CVCL_5131,cell
HCC2374,CVCL_A353,cell
HCC2429,CVCL_5132,cell
HCC2450,CVCL_5133,cell
HCC2814,CVCL_V586,cell
